Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
579.262,4.534777641296387,0.0,0.0,0.0,0.0,0.0579569935798645
579.298,4.534777641296387,0.0,0.0,0.0,0.0,0.0579569935798645
579.33,4.548365116119385,0.0,0.0,0.0,0.0,0.021565303206443787
579.362,4.632417678833008,0.0,0.0,0.0,0.0,0.025131123140454292
579.406,4.632417678833008,0.0,0.0,0.0,0.0,0.025131123140454292
579.43,4.162158012390137,0.0,0.0,0.0,0.0,-0.016999300569295883
579.462,4.1999735832214355,0.0,0.0,0.0,0.0,-0.017398696392774582
579.506,4.1999735832214355,0.0,0.0,0.0,0.0,-0.017398696392774582
579.53,4.230274200439453,0.0,0.0,0.0,0.0,0.06565414369106293
579.562,4.062248229980469,0.0,0.0,0.0,0.0,0.08665752410888672
579.598,4.062248229980469,0.0,0.0,0.0,0.0,0.08665752410888672
579.63,4.278482913970947,0.0,0.0,0.0,0.0,0.01048319786787033
579.662,4.114620685577393,0.0,0.0,0.0,0.0,0.032734405249357224
579.714,4.114620685577393,0.0,0.0,0.0,0.0,0.032734405249357224
579.73,3.769758462905884,0.0,0.0,0.0,0.0,0.006228633690625429
579.762,3.629913806915283,0.0,0.0,0.0,0.0,0.06295028328895569
579.802,3.7715203762054443,0.0,0.0,0.0,0.0,0.12961606681346893
579.83,3.7715203762054443,0.0,0.0,0.0,0.0,0.12961606681346893
579.862,3.576904773712158,0.0,0.0,0.0,0.0,0.1543348729610443
579.898,3.576904773712158,0.0,0.0,0.0,0.0,0.1543348729610443
579.93,3.5375454425811768,0.0,0.0,0.0,0.0,0.13409045338630676
579.962,3.5375454425811768,0.0,0.0,0.0,0.0,0.13409045338630676
580.002,3.371047019958496,0.0,0.0,0.0,0.0,0.1978505700826645
580.03,3.4140405654907227,0.0,0.0,0.0,0.0,0.21929073333740234
580.062,3.4140405654907227,0.0,0.0,0.0,0.0,0.21929073333740234
580.102,3.4140405654907227,0.0,0.0,0.0,0.0,0.21929073333740234
580.13,2.9708428382873535,0.0,0.0,0.0,0.0,0.3572831153869629
580.162,2.9708428382873535,0.0,0.0,0.0,0.0,0.3572831153869629
580.21,2.9372687339782715,0.0,0.0,0.0,0.0,0.36245623230934143
580.23,2.779804229736328,0.0,0.0,0.0,0.0,0.42356961965560913
580.262,2.779804229736328,0.0,0.0,0.0,0.0,0.42356961965560913
580.314,2.779804229736328,0.0,0.0,0.0,0.0,0.42356961965560913
580.33,2.6022255420684814,0.0,0.0,0.0,0.0,0.477376788854599
580.362,2.6022255420684814,0.0,0.0,0.0,0.0,0.477376788854599
580.406,2.6022255420684814,0.0,0.0,0.0,0.0,0.477376788854599
